"행정구역별(시군구)","가구주의 연령",2022,2022,2022,2022,2022,2022,2022,2022,2022
"행정구역별(시군구)","가구주의 연령",일반가구,가구원수 1명,가구원수 2명,가구원수 3명,가구원수 4명,가구원수 5명,가구원수 6명,가구원수 7명 이상,평균 가구원수
"경상북도","85세 이상",41137,24063,12617,3096,925,315,91,30,1.6
"경상남도","합계",1392608,468772,425720,264918,185108,39773,6710,1607,2.2
"경상남도","15세미만",8,X,X,X,X,X,X,X,2.1
"경상남도","15~19세",2454,2217,190,35,10,X,X,X,1.1
"경상남도","20~24세",23053,19214,2596,831,357,46,7,X,1.2
"경상남도","25~29세",51170,35458,9559,4295,1570,242,40,6,1.5
"경상남도","30~34세",70998,33319,16253,13245,6873,1095,168,45,2
"경상남도","35~39세",94313,26532,15622,23810,23060,4548,609,132,2.6
"경상남도","40~44세",132552,29924,18388,29365,42868,10176,1499,332,2.9
"경상남도","45~49세",140057,31846,25510,32599,38781,9635,1407,279,2.8
"경상남도","50~54세",167360,40628,44113,44667,30711,6105,940,196,2.5
"경상남도","55~59세",157257,41958,53304,39050,19300,3094,431,120,2.3
"경상남도","60~64세",170720,51453,72482,33676,10958,1711,343,97,2.1
"경상남도","65~69세",128417,44261,60205,18262,4266,948,354,121,1.9
"경상남도","70~74세",93923,34365,45208,10685,2420,763,357,125,1.8
"경상남도","75~79세",67396,27971,29945,6779,1734,595,288,84,1.8
"경상남도","80~84세",56486,28044,21455,4904,1336,533,172,42,1.7
"경상남도","85세 이상",36444,21580,10886,2714,863,280,95,26,1.6
"제주특별자치도","합계",276225,92172,80230,50448,37279,12229,2913,954,2.3
"제주특별자치도","15세미만",X,X,X,X,X,X,X,X,1
"제주특별자치도","15~19세",582,502,63,16,X,X,X,X,1.2
"제주특별자치도","20~24세",4952,3870,726,251,86,17,X,X,1.3
"제주특별자치도","25~29세",12685,8427,2683,1040,433,76,18,8,1.5
"제주특별자치도","30~34세",15968,7503,3994,2548,1491,344,66,22,2
"제주특별자치도","35~39세",21135,6435,4105,4495,4449,1299,254,98,2.6
"제주특별자치도","40~44세",29394,7391,5018,5878,7581,2779,592,155,2.9
"제주특별자치도","45~49세",30916,7987,6124,6033,7161,2824,615,172,2.8
"제주특별자치도","50~54세",35545,9827,9214,7741,6147,2045,449,122,2.5
"제주특별자치도","55~59세",31644,9084,9873,6910,4272,1188,251,66,2.4
"제주특별자치도","60~64세",29477,8981,11083,5880,2610,677,185,61,2.2
"제주특별자치도","65~69세",21400,7030,9000,3615,1190,338,149,78,2
"제주특별자치도","70~74세",15005,4796,6889,2249,680,222,114,55,2
"제주특별자치도","75~79세",11960,3811,5434,1834,529,176,113,63,2
"제주특별자치도","80~84세",9126,3406,3817,1247,395,151,68,42,2
"제주특별자치도","85세 이상",6435,3121,2207,711,254,93,37,12,1.8
